Clique number;Diameter;Edge connectivity;Matching number;Planar ;Radius;Vertex connectivity;Largest L-eigenvalue ;Second largest Eigenvalue;Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Group Size;Domination number;Independence number;Chromatic index
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.74100000;2.43500000;-2.74100000;0.56500000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.76100000;2.43400000;-2.76100000;0.56600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.74200000;2.43600000;-2.74200000;0.56400000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.74200000;2.43500000;-2.74200000;0.56500000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.75900000;2.43400000;-2.75900000;0.56600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.77700000;2.45200000;-2.77700000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.77600000;2.45200000;-2.77600000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.75800000;2.43800000;-2.75800000;0.56200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.80000000;2.43800000;-2.80000000;0.56200000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.80100000;2.43400000;-2.80100000;0.56600000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.78500000;2.45300000;-2.78500000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72400000;2.45200000;-2.72400000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72400000;2.45200000;-2.72400000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.73000000;2.27200000;-2.73000000;0.54500000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.77900000;2.45200000;-2.77900000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.78000000;2.28000000;-2.78000000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73000000;2.45300000;-2.73000000;0.05470000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.78000000;2.45500000;-2.78000000;0.54500000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72500000;2.45200000;-2.72500000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.72500000;2.45200000;-2.72500000;0.54800000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.72900000;2.45400000;-2.72900000;0.54600000;3.00000000;7.00000000;1.00000000;11.00000000;16.00000000;3.00000000
2.00000000;5.00000000;3.00000000;18.00000000;0.00000000;4.00000000;3.00000000;5.73000000;2.45300000;-2.73000000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.81400000;2.45300000;-2.81400000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.81200000;2.45300000;-2.81200000;0.54700000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
2.00000000;6.00000000;3.00000000;18.00000000;0.00000000;5.00000000;3.00000000;5.78400000;2.45600000;-2.78400000;0.54400000;3.00000000;7.00000000;1.00000000;10.00000000;16.00000000;3.00000000
